id_customer; id_products; payment (pedido gratuito= 1 , tarjeta credito=2)
5;98:1;1
5;479:1;1
10;193:2;1
34;98:2;1
85;384:1;1
92;412:2;1
102;166:1;1
108;167:1;1
108;165:1;1
112;21:3;1
119;167:1;1
277;165:1;1
314;167:1;1
314;455:1;1
345;98:1;1
360;167:1;1
379;65:1;1
379;478:1;1
1033;220:1;1
1307;40:1;1
1348;454:1;1
2265;107:1;1
2270;98:1;1
2270;94:1;1
3003;398:1;1
3003;99:1;1
3084;98:1;1
3084;449:1;1
3149;99:1;1
3149;112:1;1
3149;215:1;1
3457;107:1;1
3624;384:1;1
4074;193:1;1
4074;399:1;1
211;220:1;1
211;97:1;1
342;165:1;1
92;384:1;1
64;437:1;1
64;413:1;1
64;479:1;1
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
